optimizer,learning_rate,test_f1_macro
Adam,0.0001,0.9902365
Adam,0.0003,0.989437
Adam,0.0005,0.9892075714285714
Adam,0.0007,0.9871955
Adam,0.001,0.9871956666666666
AdamW,0.0001,0.9889555
AdamW,0.0003,0.989437
AdamW,0.0005,0.9887428333333333
AdamW,0.0007,0.9872755
AdamW,0.001,0.987195
RMSprop,0.0001,0.9855944999999999
RMSprop,0.0003,0.984635
RMSprop,0.0005,0.698096
RMSprop,0.0007,0.6556854999999999
RMSprop,0.001,0.743093
SGD,0.0001,0.9895965
SGD,0.0003,0.9895964999999999
SGD,0.0005,0.9898594285714285
SGD,0.0007,0.9903701666666667
SGD,0.001,0.9900765
