run_name,run_dir,seed,device,img_size,batch_size,epochs_requested,epochs_executed,learning_rate,optimizer,dropout_fc,weight_decay,use_early_stopping,early_stopping_patience,best_val_acc,best_epoch,final_val_acc,final_val_loss,total_training_time_sec,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,best_model_path,metrics_file,experiment_group,run_folder
imagensCNNfase4_2026-04-20_08-29-35_bs16_ep50_lr0.0007_optSGD_df0.7_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_08-29-35_bs16_ep50_lr0.0007_optSGD_df0.7_wd0.0,42,cuda,256,16,50,50,0.0007,SGD,0.7,0.0,False,10,0.98943,46,0.988149,0.032614,2457.5889,0.992318,0.992332,0.992316,0.992317,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_08-29-35_bs16_ep50_lr0.0007_optSGD_df0.7_wd0.0\best_model.pt,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_08-29-35_bs16_ep50_lr0.0007_optSGD_df0.7_wd0.0\metrics.json,imagensCNNfase4,imagensCNNfase4_2026-04-20_08-29-35_bs16_ep50_lr0.0007_optSGD_df0.7_wd0.0
imagensCNNfase3_2026-04-18_11-57-08_bs16_ep150_lr0.0005_optSGD_df0.7_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_11-57-08_bs16_ep150_lr0.0005_optSGD_df0.7_wd0.0,42,cuda,256,16,150,150,0.0005,SGD,0.7,0.0,False,10,0.99007,38,0.986867,0.069467,7302.1619,0.991357,0.991357,0.991357,0.991357,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_11-57-08_bs16_ep150_lr0.0005_optSGD_df0.7_wd0.0\best_model.pt,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_11-57-08_bs16_ep150_lr0.0005_optSGD_df0.7_wd0.0\metrics.json,imagensCNNfase3,imagensCNNfase3_2026-04-18_11-57-08_bs16_ep150_lr0.0005_optSGD_df0.7_wd0.0
imagensCNNfase2_2026-04-17_22-25-40_bs16_ep50_lr0.0005_optSGD_df0.7_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_22-25-40_bs16_ep50_lr0.0005_optSGD_df0.7_wd0.0,42,cuda,256,16,50,50,0.0005,SGD,0.7,0.0,False,10,0.99007,38,0.986867,0.049562,2451.3819,0.991357,0.991357,0.991357,0.991357,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_22-25-40_bs16_ep50_lr0.0005_optSGD_df0.7_wd0.0\best_model.pt,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_22-25-40_bs16_ep50_lr0.0005_optSGD_df0.7_wd0.0\metrics.json,imagensCNNfase2,imagensCNNfase2_2026-04-17_22-25-40_bs16_ep50_lr0.0005_optSGD_df0.7_wd0.0
imagensCNNfase3_2026-04-18_10-35-09_bs16_ep100_lr0.0005_optSGD_df0.7_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_10-35-09_bs16_ep100_lr0.0005_optSGD_df0.7_wd0.0,42,cuda,256,16,100,100,0.0005,SGD,0.7,0.0,False,10,0.99007,38,0.988149,0.046001,4911.4951,0.991357,0.991357,0.991357,0.991357,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_10-35-09_bs16_ep100_lr0.0005_optSGD_df0.7_wd0.0\best_model.pt,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_10-35-09_bs16_ep100_lr0.0005_optSGD_df0.7_wd0.0\metrics.json,imagensCNNfase3,imagensCNNfase3_2026-04-18_10-35-09_bs16_ep100_lr0.0005_optSGD_df0.7_wd0.0
imagensCNNfase3_2026-04-18_16-41-16_bs16_ep250_lr0.0005_optSGD_df0.7_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_16-41-16_bs16_ep250_lr0.0005_optSGD_df0.7_wd0.0,42,cuda,256,16,250,250,0.0005,SGD,0.7,0.0,False,10,0.99007,38,0.986867,0.091065,12232.6184,0.991357,0.991357,0.991357,0.991357,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_16-41-16_bs16_ep250_lr0.0005_optSGD_df0.7_wd0.0\best_model.pt,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_16-41-16_bs16_ep250_lr0.0005_optSGD_df0.7_wd0.0\metrics.json,imagensCNNfase3,imagensCNNfase3_2026-04-18_16-41-16_bs16_ep250_lr0.0005_optSGD_df0.7_wd0.0
imagensCNNfase3_2026-04-18_20-05-15_bs16_ep300_lr0.0005_optSGD_df0.7_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_20-05-15_bs16_ep300_lr0.0005_optSGD_df0.7_wd0.0,42,cuda,256,16,300,300,0.0005,SGD,0.7,0.0,False,10,0.99007,38,0.988149,0.098082,14624.6543,0.991357,0.991357,0.991357,0.991357,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_20-05-15_bs16_ep300_lr0.0005_optSGD_df0.7_wd0.0\best_model.pt,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_20-05-15_bs16_ep300_lr0.0005_optSGD_df0.7_wd0.0\metrics.json,imagensCNNfase3,imagensCNNfase3_2026-04-18_20-05-15_bs16_ep300_lr0.0005_optSGD_df0.7_wd0.0
imagensCNNfase3_2026-04-18_13-58-56_bs16_ep200_lr0.0005_optSGD_df0.7_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_13-58-56_bs16_ep200_lr0.0005_optSGD_df0.7_wd0.0,42,cuda,256,16,200,200,0.0005,SGD,0.7,0.0,False,10,0.99007,38,0.987508,0.081089,9735.1259,0.991357,0.991357,0.991357,0.991357,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_13-58-56_bs16_ep200_lr0.0005_optSGD_df0.7_wd0.0\best_model.pt,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_13-58-56_bs16_ep200_lr0.0005_optSGD_df0.7_wd0.0\metrics.json,imagensCNNfase3,imagensCNNfase3_2026-04-18_13-58-56_bs16_ep200_lr0.0005_optSGD_df0.7_wd0.0
imagensCNNfase4_2026-04-20_04-20-21_bs16_ep50_lr0.0005_optSGD_df0.7_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_04-20-21_bs16_ep50_lr0.0005_optSGD_df0.7_wd0.0,42,cuda,256,16,50,50,0.0005,SGD,0.7,0.0,False,10,0.99007,38,0.986867,0.049562,2474.3282,0.991357,0.991357,0.991357,0.991357,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_04-20-21_bs16_ep50_lr0.0005_optSGD_df0.7_wd0.0\best_model.pt,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_04-20-21_bs16_ep50_lr0.0005_optSGD_df0.7_wd0.0\metrics.json,imagensCNNfase4,imagensCNNfase4_2026-04-20_04-20-21_bs16_ep50_lr0.0005_optSGD_df0.7_wd0.0
imagensCNNfase4_2026-04-20_22-56-25_bs16_ep100_lr0.0005_optSGD_df0.7_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_22-56-25_bs16_ep100_lr0.0005_optSGD_df0.7_wd0.0,42,cuda,256,16,100,100,0.0005,SGD,0.7,0.0,False,10,0.99007,38,0.988149,0.046001,4926.2923,0.991357,0.991357,0.991357,0.991357,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_22-56-25_bs16_ep100_lr0.0005_optSGD_df0.7_wd0.0\best_model.pt,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_22-56-25_bs16_ep100_lr0.0005_optSGD_df0.7_wd0.0\metrics.json,imagensCNNfase4,imagensCNNfase4_2026-04-20_22-56-25_bs16_ep100_lr0.0005_optSGD_df0.7_wd0.0
imagensCNNfase1_1_2026-04-17_15-14-50_bs32_ep50_lr0.0001_optAdam_df0.5_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1_1\imagensCNNfase1_1_2026-04-17_15-14-50_bs32_ep50_lr0.0001_optAdam_df0.5_wd0.0001,42,cuda,256,32,50,50,0.0001,Adam,0.5,0.0001,False,10,0.98975,21,0.987188,0.045799,2504.7903,0.991037,0.991055,0.991039,0.991037,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1_1\imagensCNNfase1_1_2026-04-17_15-14-50_bs32_ep50_lr0.0001_optAdam_df0.5_wd0.0001\best_model.pt,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1_1\imagensCNNfase1_1_2026-04-17_15-14-50_bs32_ep50_lr0.0001_optAdam_df0.5_wd0.0001\metrics.json,imagensCNNfase1_1,imagensCNNfase1_1_2026-04-17_15-14-50_bs32_ep50_lr0.0001_optAdam_df0.5_wd0.0001
