epochs_executed,test_f1_macro
5,0.866273
11,0.333476
12,0.33347599999999994
14,0.482984
30,0.935493
47,0.974711
48,0.965108
50,0.9683401923076923
54,0.979193
57,0.968309
58,0.980792
60,0.957477
61,0.977592
64,0.976152
68,0.981434
70,0.9761515000000001
71,0.978873
74,0.980474
77,0.955152
88,0.982394
90,0.984955
91,0.963508
92,0.973111
94,0.97855
96,0.96991
100,0.9792991666666667
101,0.963828
113,0.983995
119,0.976953
122,0.972465
145,0.982394
150,0.985915
200,0.9134186470588235
250,0.6798096603773586
300,0.987196
