optimizer,learning_rate,test_f1_macro
Adam,0.0001,0.9711855483870968
Adam,0.0003,0.982714
Adam,0.0005,0.985595
Adam,0.0007,0.984634
Adam,0.001,0.4734369615384616
AdamW,0.0001,0.986236
AdamW,0.0003,0.981434
AdamW,0.0005,0.985754
AdamW,0.0007,0.981113
AdamW,0.001,0.333476
RMSprop,0.0001,0.985328
RMSprop,0.0003,0.9718285
RMSprop,0.0005,0.97391
RMSprop,0.0007,0.735471
RMSprop,0.001,0.5757931315789474
SGD,0.0001,0.9655353846153846
SGD,0.0003,0.982714
SGD,0.0005,0.984155
SGD,0.0007,0.983995
SGD,0.001,0.98115346875
