run_name,run_dir,seed,device,img_size,batch_size,epochs_requested,epochs_executed,learning_rate,optimizer,dropout_conv,dropout_fc,weight_decay,best_val_acc,best_epoch,final_val_acc,final_val_loss,total_training_time_sec,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,best_model_path,metrics_file,experiment_group,run_folder,use_early_stopping,early_stopping_patience,rank
treinamento_imagens_4_fase1_2026-04-03_12-22-26_bs32_ep200_lr0.0001_optRMSprop_dc0.25_df0.3_wd0.0001,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase1\treinamento_imagens_4_fase1_2026-04-03_12-22-26_bs32_ep200_lr0.0001_optRMSprop_dc0.25_df0.3_wd0.0001,42,cuda,256,32,200,200,0.0001,RMSprop,0.25,0.3,0.0001,0.988469,170,0.986547,0.04233,4800.8489,0.988476,0.988485,0.988475,0.988476,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase1\treinamento_imagens_4_fase1_2026-04-03_12-22-26_bs32_ep200_lr0.0001_optRMSprop_dc0.25_df0.3_wd0.0001\best_model.pt,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase1\treinamento_imagens_4_fase1_2026-04-03_12-22-26_bs32_ep200_lr0.0001_optRMSprop_dc0.25_df0.3_wd0.0001\metrics.json,treinamento_imagens_4_fase1,treinamento_imagens_4_fase1_2026-04-03_12-22-26_bs32_ep200_lr0.0001_optRMSprop_dc0.25_df0.3_wd0.0001,False,10.0,Exp 1
treinamento_imagens_4_fase3_2026-04-08_18-02-20_bs32_ep250_lr0.0001_optRMSprop_dc0.25_df0.3_wd0.0001,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase3\treinamento_imagens_4_fase3_2026-04-08_18-02-20_bs32_ep250_lr0.0001_optRMSprop_dc0.25_df0.3_wd0.0001,42,cuda,256,32,250,250,0.0001,RMSprop,0.25,0.3,0.0001,0.988469,170,0.987188,0.046459,6054.2138,0.988476,0.988485,0.988475,0.988476,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase3\treinamento_imagens_4_fase3_2026-04-08_18-02-20_bs32_ep250_lr0.0001_optRMSprop_dc0.25_df0.3_wd0.0001\best_model.pt,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase3\treinamento_imagens_4_fase3_2026-04-08_18-02-20_bs32_ep250_lr0.0001_optRMSprop_dc0.25_df0.3_wd0.0001\metrics.json,treinamento_imagens_4_fase3,treinamento_imagens_4_fase3_2026-04-08_18-02-20_bs32_ep250_lr0.0001_optRMSprop_dc0.25_df0.3_wd0.0001,False,10.0,Exp 2
treinamento_imagens_4_fase1_1_2026-04-04_08-10-38_bs32_ep250_lr0.0001_optRMSprop_dc0.25_df0.3_wd0.0001,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase1_1\treinamento_imagens_4_fase1_1_2026-04-04_08-10-38_bs32_ep250_lr0.0001_optRMSprop_dc0.25_df0.3_wd0.0001,42,cuda,256,32,250,250,0.0001,RMSprop,0.25,0.3,0.0001,0.988469,170,0.987188,0.046459,5946.4885,0.988476,0.988485,0.988475,0.988476,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase1_1\treinamento_imagens_4_fase1_1_2026-04-04_08-10-38_bs32_ep250_lr0.0001_optRMSprop_dc0.25_df0.3_wd0.0001\best_model.pt,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase1_1\treinamento_imagens_4_fase1_1_2026-04-04_08-10-38_bs32_ep250_lr0.0001_optRMSprop_dc0.25_df0.3_wd0.0001\metrics.json,treinamento_imagens_4_fase1_1,treinamento_imagens_4_fase1_1_2026-04-04_08-10-38_bs32_ep250_lr0.0001_optRMSprop_dc0.25_df0.3_wd0.0001,False,10.0,Exp 3
mesonet_teste_epocas_base_melhor_2026-04-02_14-25-31_bs32_ep250_lr0.001_optSGD_dc0.25_df0.3_wd0.0001,C:\tcc mesonet\experiments\mesonet\treinamento_3_teste_epocas\mesonet_teste_epocas_base_melhor_2026-04-02_14-25-31_bs32_ep250_lr0.001_optSGD_dc0.25_df0.3_wd0.0001,42,cuda,256,32,250,250,0.001,SGD,0.25,0.3,0.0001,0.987828,233,0.985266,0.038185,5859.6058,0.987836,0.987842,0.987837,0.987836,C:\tcc mesonet\experiments\mesonet\treinamento_3_teste_epocas\mesonet_teste_epocas_base_melhor_2026-04-02_14-25-31_bs32_ep250_lr0.001_optSGD_dc0.25_df0.3_wd0.0001\best_model.pt,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_3_teste_epocas\mesonet_teste_epocas_base_melhor_2026-04-02_14-25-31_bs32_ep250_lr0.001_optSGD_dc0.25_df0.3_wd0.0001\metrics.json,treinamento_imagens_3_teste_epocas,mesonet_teste_epocas_base_melhor_2026-04-02_14-25-31_bs32_ep250_lr0.001_optSGD_dc0.25_df0.3_wd0.0001,False,10.0,Exp 4
treinamento_imagens_4_fase1_1_2026-04-03_15-33-13_bs32_ep250_lr0.001_optSGD_dc0.25_df0.3_wd0.0001,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase1_1\treinamento_imagens_4_fase1_1_2026-04-03_15-33-13_bs32_ep250_lr0.001_optSGD_dc0.25_df0.3_wd0.0001,42,cuda,256,32,250,250,0.001,SGD,0.25,0.3,0.0001,0.987828,233,0.985266,0.038185,5900.7067,0.987836,0.987842,0.987837,0.987836,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase1_1\treinamento_imagens_4_fase1_1_2026-04-03_15-33-13_bs32_ep250_lr0.001_optSGD_dc0.25_df0.3_wd0.0001\best_model.pt,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase1_1\treinamento_imagens_4_fase1_1_2026-04-03_15-33-13_bs32_ep250_lr0.001_optSGD_dc0.25_df0.3_wd0.0001\metrics.json,treinamento_imagens_4_fase1_1,treinamento_imagens_4_fase1_1_2026-04-03_15-33-13_bs32_ep250_lr0.001_optSGD_dc0.25_df0.3_wd0.0001,False,10.0,Exp 5
mesonet_teste_300_extra_2026-04-02_16-29-16_bs32_ep300_lr0.001_optSGD_dc0.25_df0.3_wd0.0001,C:\tcc mesonet\experiments\mesonet\teste_extra_300\mesonet_teste_300_extra_2026-04-02_16-29-16_bs32_ep300_lr0.001_optSGD_dc0.25_df0.3_wd0.0001,42,cuda,256,32,300,300,0.001,SGD,0.25,0.3,0.0001,0.988469,273,0.983664,0.054286,7014.7996,0.987196,0.987214,0.987198,0.987196,C:\tcc mesonet\experiments\mesonet\teste_extra_300\mesonet_teste_300_extra_2026-04-02_16-29-16_bs32_ep300_lr0.001_optSGD_dc0.25_df0.3_wd0.0001\best_model.pt,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_3_teste_extra_300\mesonet_teste_300_extra_2026-04-02_16-29-16_bs32_ep300_lr0.001_optSGD_dc0.25_df0.3_wd0.0001\metrics.json,treinamento_imagens_3_teste_extra_300,mesonet_teste_300_extra_2026-04-02_16-29-16_bs32_ep300_lr0.001_optSGD_dc0.25_df0.3_wd0.0001,False,10.0,Exp 6
treinamento_imagens_4_fase1_2026-04-03_11-02-01_bs32_ep200_lr0.0001_optAdamW_dc0.25_df0.3_wd0.0001,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase1\treinamento_imagens_4_fase1_2026-04-03_11-02-01_bs32_ep200_lr0.0001_optAdamW_dc0.25_df0.3_wd0.0001,42,cuda,256,32,200,200,0.0001,AdamW,0.25,0.3,0.0001,0.986227,191,0.983664,0.0414,4819.9131,0.986236,0.98624,0.986237,0.986236,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase1\treinamento_imagens_4_fase1_2026-04-03_11-02-01_bs32_ep200_lr0.0001_optAdamW_dc0.25_df0.3_wd0.0001\best_model.pt,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase1\treinamento_imagens_4_fase1_2026-04-03_11-02-01_bs32_ep200_lr0.0001_optAdamW_dc0.25_df0.3_wd0.0001\metrics.json,treinamento_imagens_4_fase1,treinamento_imagens_4_fase1_2026-04-03_11-02-01_bs32_ep200_lr0.0001_optAdamW_dc0.25_df0.3_wd0.0001,False,10.0,Exp 7
treinamento_imagens_4_fase1_1_2026-04-04_06-30-15_bs32_ep250_lr0.0001_optAdamW_dc0.25_df0.3_wd0.0001,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase1_1\treinamento_imagens_4_fase1_1_2026-04-04_06-30-15_bs32_ep250_lr0.0001_optAdamW_dc0.25_df0.3_wd0.0001,42,cuda,256,32,250,250,0.0001,AdamW,0.25,0.3,0.0001,0.986227,191,0.982703,0.043755,6018.102,0.986236,0.98624,0.986237,0.986236,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase1_1\treinamento_imagens_4_fase1_1_2026-04-04_06-30-15_bs32_ep250_lr0.0001_optAdamW_dc0.25_df0.3_wd0.0001\best_model.pt,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase1_1\treinamento_imagens_4_fase1_1_2026-04-04_06-30-15_bs32_ep250_lr0.0001_optAdamW_dc0.25_df0.3_wd0.0001\metrics.json,treinamento_imagens_4_fase1_1,treinamento_imagens_4_fase1_1_2026-04-04_06-30-15_bs32_ep250_lr0.0001_optAdamW_dc0.25_df0.3_wd0.0001,False,10.0,Exp 8
treinamento_imagens_4_fase1_1_2026-04-03_23-48-45_bs32_ep250_lr0.0005_optAdamW_dc0.25_df0.3_wd0.0001,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase1_1\treinamento_imagens_4_fase1_1_2026-04-03_23-48-45_bs32_ep250_lr0.0005_optAdamW_dc0.25_df0.3_wd0.0001,42,cuda,256,32,250,250,0.0005,AdamW,0.25,0.3,0.0001,0.984946,237,0.983664,0.048995,5975.9092,0.986236,0.986296,0.986232,0.986235,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase1_1\treinamento_imagens_4_fase1_1_2026-04-03_23-48-45_bs32_ep250_lr0.0005_optAdamW_dc0.25_df0.3_wd0.0001\best_model.pt,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase1_1\treinamento_imagens_4_fase1_1_2026-04-03_23-48-45_bs32_ep250_lr0.0005_optAdamW_dc0.25_df0.3_wd0.0001\metrics.json,treinamento_imagens_4_fase1_1,treinamento_imagens_4_fase1_1_2026-04-03_23-48-45_bs32_ep250_lr0.0005_optAdamW_dc0.25_df0.3_wd0.0001,False,10.0,Exp 9
treinamento_imagens_4_fase1_2026-04-03_08-19-59_bs32_ep200_lr0.0001_optAdam_dc0.25_df0.3_wd0.0001,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase1\treinamento_imagens_4_fase1_2026-04-03_08-19-59_bs32_ep200_lr0.0001_optAdam_dc0.25_df0.3_wd0.0001,42,cuda,256,32,200,200,0.0001,Adam,0.25,0.3,0.0001,0.984946,198,0.982703,0.04312,4883.5264,0.985915,0.985917,0.985915,0.985915,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase1\treinamento_imagens_4_fase1_2026-04-03_08-19-59_bs32_ep200_lr0.0001_optAdam_dc0.25_df0.3_wd0.0001\best_model.pt,C:\tcc mesonet\experiments\mesonet\treinamento_imagens_4_fase1\treinamento_imagens_4_fase1_2026-04-03_08-19-59_bs32_ep200_lr0.0001_optAdam_dc0.25_df0.3_wd0.0001\metrics.json,treinamento_imagens_4_fase1,treinamento_imagens_4_fase1_2026-04-03_08-19-59_bs32_ep200_lr0.0001_optAdam_dc0.25_df0.3_wd0.0001,False,10.0,Exp 10
