epochs_executed,test_f1_macro,test_accuracy,best_val_acc
300,0.987196,0.987196,0.988469
150,0.985915,0.985915,0.986227
90,0.984955,0.984955,0.984946
113,0.983995,0.983995,0.981742
88,0.982394,0.982394,0.985266
145,0.982394,0.982394,0.983985
68,0.981434,0.981434,0.980141
58,0.980792,0.9807935,0.9791799999999999
74,0.980474,0.980474,0.980782
100,0.9792991666666667,0.9792998333333333,0.9780856666666667
54,0.979193,0.979193,0.978539
71,0.978873,0.978873,0.977899
94,0.97855,0.978553,0.97886
61,0.977592,0.977593,0.975977
119,0.976953,0.976953,0.976297
64,0.976152,0.976152,0.9774185
70,0.9761515000000001,0.9761525,0.9754965
47,0.974711,0.9747119999999999,0.9746960000000001
92,0.973111,0.973111,0.972454
122,0.972465,0.972471,0.972774
96,0.96991,0.96991,0.967008
50,0.9683401923076923,0.9683430769230769,0.9668186153846154
57,0.968309,0.96831,0.964766
48,0.965108,0.965109,0.967329
101,0.963828,0.963828,0.960922
91,0.963508,0.963508,0.960282
60,0.957477,0.957477,0.961722
77,0.955152,0.955186,0.959641
30,0.935493,0.935499,0.938278
200,0.9134186470588235,0.9244368823529412,0.924671294117647
5,0.866273,0.866699,0.866029
250,0.6798096603773586,0.7317239245283019,0.7338304150943395
14,0.482984,0.541613,0.540038
11,0.333476,0.50032,0.50032
12,0.33347599999999994,0.50032,0.50032
