run_name,run_dir,seed,device,img_size,batch_size,epochs_requested,epochs_executed,learning_rate,optimizer,dropout_fc,weight_decay,use_early_stopping,early_stopping_patience,best_val_acc,best_epoch,final_val_acc,final_val_loss,total_training_time_sec,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,best_model_path
imagensCNNfase1_1_2026-04-17_09-30-15_bs32_ep50_lr0.001_optAdam_df0.5_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1_1\imagensCNNfase1_1_2026-04-17_09-30-15_bs32_ep50_lr0.001_optAdam_df0.5_wd0.0001,42,cuda,256,32,50,50,0.001,Adam,0.5,0.0001,False,10,0.988469,31,0.983664,0.037338,2495.4911,0.990077,0.990095,0.990075,0.990077,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1_1\imagensCNNfase1_1_2026-04-17_09-30-15_bs32_ep50_lr0.001_optAdam_df0.5_wd0.0001\best_model.pt
imagensCNNfase1_1_2026-04-17_10-11-57_bs32_ep50_lr0.001_optSGD_df0.5_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1_1\imagensCNNfase1_1_2026-04-17_10-11-57_bs32_ep50_lr0.001_optSGD_df0.5_wd0.0001,42,cuda,256,32,50,50,0.001,SGD,0.5,0.0001,False,10,0.990711,14,0.987828,0.039749,2464.2539,0.989117,0.989185,0.989113,0.989116,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1_1\imagensCNNfase1_1_2026-04-17_10-11-57_bs32_ep50_lr0.001_optSGD_df0.5_wd0.0001\best_model.pt
imagensCNNfase1_1_2026-04-17_10-53-07_bs32_ep50_lr0.001_optAdamW_df0.5_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1_1\imagensCNNfase1_1_2026-04-17_10-53-07_bs32_ep50_lr0.001_optAdamW_df0.5_wd0.0001,42,cuda,256,32,50,50,0.001,AdamW,0.5,0.0001,False,10,0.991031,34,0.985906,0.073393,2639.9885,0.986556,0.986675,0.986551,0.986555,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1_1\imagensCNNfase1_1_2026-04-17_10-53-07_bs32_ep50_lr0.001_optAdamW_df0.5_wd0.0001\best_model.pt
imagensCNNfase1_1_2026-04-17_11-37-13_bs32_ep50_lr0.001_optRMSprop_df0.5_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1_1\imagensCNNfase1_1_2026-04-17_11-37-13_bs32_ep50_lr0.001_optRMSprop_df0.5_wd0.0001,42,cuda,256,32,50,50,0.001,RMSprop,0.5,0.0001,False,10,0.952594,36,0.86483,0.470368,2499.4562,0.954225,0.954242,0.954223,0.954225,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1_1\imagensCNNfase1_1_2026-04-17_11-37-13_bs32_ep50_lr0.001_optRMSprop_df0.5_wd0.0001\best_model.pt
imagensCNNfase1_1_2026-04-17_12-18-58_bs32_ep50_lr0.0005_optAdam_df0.5_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1_1\imagensCNNfase1_1_2026-04-17_12-18-58_bs32_ep50_lr0.0005_optAdam_df0.5_wd0.0001,42,cuda,256,32,50,50,0.0005,Adam,0.5,0.0001,False,10,0.98911,35,0.986547,0.038928,3065.1287,0.988796,0.988823,0.988794,0.988796,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1_1\imagensCNNfase1_1_2026-04-17_12-18-58_bs32_ep50_lr0.0005_optAdam_df0.5_wd0.0001\best_model.pt
imagensCNNfase1_1_2026-04-17_13-10-09_bs32_ep50_lr0.0005_optSGD_df0.5_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1_1\imagensCNNfase1_1_2026-04-17_13-10-09_bs32_ep50_lr0.0005_optSGD_df0.5_wd0.0001,42,cuda,256,32,50,50,0.0005,SGD,0.5,0.0001,False,10,0.98975,14,0.987188,0.043529,2466.1244,0.990397,0.990452,0.990394,0.990397,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1_1\imagensCNNfase1_1_2026-04-17_13-10-09_bs32_ep50_lr0.0005_optSGD_df0.5_wd0.0001\best_model.pt
imagensCNNfase1_1_2026-04-17_13-51-20_bs32_ep50_lr0.0005_optAdamW_df0.5_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1_1\imagensCNNfase1_1_2026-04-17_13-51-20_bs32_ep50_lr0.0005_optAdamW_df0.5_wd0.0001,42,cuda,256,32,50,50,0.0005,AdamW,0.5,0.0001,False,10,0.990711,46,0.988789,0.032087,2493.4762,0.988796,0.988802,0.988795,0.988796,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1_1\imagensCNNfase1_1_2026-04-17_13-51-20_bs32_ep50_lr0.0005_optAdamW_df0.5_wd0.0001\best_model.pt
imagensCNNfase1_1_2026-04-17_14-33-00_bs32_ep50_lr0.0005_optRMSprop_df0.5_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1_1\imagensCNNfase1_1_2026-04-17_14-33-00_bs32_ep50_lr0.0005_optRMSprop_df0.5_wd0.0001,42,cuda,256,32,50,50,0.0005,RMSprop,0.5,0.0001,False,10,0.981102,49,0.96829,0.119612,2504.6977,0.975352,0.97536,0.975354,0.975352,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1_1\imagensCNNfase1_1_2026-04-17_14-33-00_bs32_ep50_lr0.0005_optRMSprop_df0.5_wd0.0001\best_model.pt
imagensCNNfase1_1_2026-04-17_15-14-50_bs32_ep50_lr0.0001_optAdam_df0.5_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1_1\imagensCNNfase1_1_2026-04-17_15-14-50_bs32_ep50_lr0.0001_optAdam_df0.5_wd0.0001,42,cuda,256,32,50,50,0.0001,Adam,0.5,0.0001,False,10,0.98975,21,0.987188,0.045799,2504.7903,0.991037,0.991055,0.991039,0.991037,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1_1\imagensCNNfase1_1_2026-04-17_15-14-50_bs32_ep50_lr0.0001_optAdam_df0.5_wd0.0001\best_model.pt
imagensCNNfase1_1_2026-04-17_15-56-40_bs32_ep50_lr0.0001_optSGD_df0.5_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1_1\imagensCNNfase1_1_2026-04-17_15-56-40_bs32_ep50_lr0.0001_optSGD_df0.5_wd0.0001,42,cuda,256,32,50,50,0.0001,SGD,0.5,0.0001,False,10,0.99007,44,0.986547,0.033731,2472.3046,0.989117,0.989139,0.989114,0.989116,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1_1\imagensCNNfase1_1_2026-04-17_15-56-40_bs32_ep50_lr0.0001_optSGD_df0.5_wd0.0001\best_model.pt
