run_name,run_dir,seed,device,img_size,batch_size,epochs_requested,epochs_executed,learning_rate,optimizer,dropout_fc,weight_decay,use_early_stopping,early_stopping_patience,best_val_acc,best_epoch,final_val_acc,final_val_loss,total_training_time_sec,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,best_model_path
imagensCNNfase5_2026-04-21_13-05-33_bs16_ep50_lr0.0005_optAdam_df0.6_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_13-05-33_bs16_ep50_lr0.0005_optAdam_df0.6_wd0.0,42,cuda,256,16,50,50,0.0005,Adam,0.6,0.0,False,10,0.99007,50,0.99007,0.044992,2523.9168,0.989437,0.989473,0.989434,0.989436,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_13-05-33_bs16_ep50_lr0.0005_optAdam_df0.6_wd0.0\best_model.pt
imagensCNNfase5_2026-04-21_13-47-43_bs16_ep50_lr0.0005_optAdam_df0.6_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_13-47-43_bs16_ep50_lr0.0005_optAdam_df0.6_wd0.0001,42,cuda,256,16,50,50,0.0005,Adam,0.6,0.0001,False,10,0.98911,46,0.987508,0.040134,2535.7434,0.988476,0.988513,0.988479,0.988476,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_13-47-43_bs16_ep50_lr0.0005_optAdam_df0.6_wd0.0001\best_model.pt
imagensCNNfase5_2026-04-21_14-30-04_bs16_ep50_lr0.0005_optAdam_df0.7_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_14-30-04_bs16_ep50_lr0.0005_optAdam_df0.7_wd0.0,42,cuda,256,16,50,50,0.0005,Adam,0.7,0.0,False,10,0.988149,46,0.985586,0.068081,2518.5929,0.989757,0.989759,0.989758,0.989757,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_14-30-04_bs16_ep50_lr0.0005_optAdam_df0.7_wd0.0\best_model.pt
imagensCNNfase5_2026-04-21_15-12-08_bs16_ep50_lr0.0005_optAdam_df0.7_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_15-12-08_bs16_ep50_lr0.0005_optAdam_df0.7_wd0.0001,42,cuda,256,16,50,50,0.0005,Adam,0.7,0.0001,False,10,0.987828,23,0.984305,0.042227,3502.9702,0.988476,0.988662,0.98847,0.988475,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_15-12-08_bs16_ep50_lr0.0005_optAdam_df0.7_wd0.0001\best_model.pt
imagensCNNfase5_2026-04-21_16-10-38_bs16_ep50_lr0.0005_optAdamW_df0.6_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_16-10-38_bs16_ep50_lr0.0005_optAdamW_df0.6_wd0.0,42,cuda,256,16,50,50,0.0005,AdamW,0.6,0.0,False,10,0.99007,50,0.99007,0.044992,2587.8764,0.989437,0.989473,0.989434,0.989436,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_16-10-38_bs16_ep50_lr0.0005_optAdamW_df0.6_wd0.0\best_model.pt
imagensCNNfase5_2026-04-21_16-53-51_bs16_ep50_lr0.0005_optAdamW_df0.6_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_16-53-51_bs16_ep50_lr0.0005_optAdamW_df0.6_wd0.0001,42,cuda,256,16,50,50,0.0005,AdamW,0.6,0.0001,False,10,0.990391,41,0.97886,0.093492,2676.7623,0.988796,0.9888,0.988797,0.988796,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_16-53-51_bs16_ep50_lr0.0005_optAdamW_df0.6_wd0.0001\best_model.pt
imagensCNNfase5_2026-04-21_17-38-34_bs16_ep50_lr0.0005_optAdamW_df0.7_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_17-38-34_bs16_ep50_lr0.0005_optAdamW_df0.7_wd0.0,42,cuda,256,16,50,50,0.0005,AdamW,0.7,0.0,False,10,0.988149,46,0.985586,0.068081,2552.9556,0.989757,0.989759,0.989758,0.989757,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_17-38-34_bs16_ep50_lr0.0005_optAdamW_df0.7_wd0.0\best_model.pt
imagensCNNfase5_2026-04-21_18-21-12_bs16_ep50_lr0.0005_optAdamW_df0.7_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_18-21-12_bs16_ep50_lr0.0005_optAdamW_df0.7_wd0.0001,42,cuda,256,16,50,50,0.0005,AdamW,0.7,0.0001,False,10,0.988149,47,0.986867,0.050752,2581.7184,0.989117,0.989185,0.989113,0.989116,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_18-21-12_bs16_ep50_lr0.0005_optAdamW_df0.7_wd0.0001\best_model.pt
imagensCNNfase5_2026-04-21_19-04-20_bs16_ep50_lr0.0005_optRMSprop_df0.6_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_19-04-20_bs16_ep50_lr0.0005_optRMSprop_df0.6_wd0.0,42,cuda,256,16,50,50,0.0005,RMSprop,0.6,0.0,False,10,0.501922,1,0.50032,0.693477,2566.9952,0.503521,0.56603,0.503832,0.350854,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_19-04-20_bs16_ep50_lr0.0005_optRMSprop_df0.6_wd0.0\best_model.pt
imagensCNNfase5_2026-04-21_19-47-13_bs16_ep50_lr0.0005_optRMSprop_df0.6_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_19-47-13_bs16_ep50_lr0.0005_optRMSprop_df0.6_wd0.0001,42,cuda,256,16,50,50,0.0005,RMSprop,0.6,0.0001,False,10,0.974696,37,0.971172,0.096785,2575.3446,0.973752,0.973757,0.973753,0.973752,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_19-47-13_bs16_ep50_lr0.0005_optRMSprop_df0.6_wd0.0001\best_model.pt
imagensCNNfase5_2026-04-21_20-30-14_bs16_ep50_lr0.0005_optRMSprop_df0.7_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_20-30-14_bs16_ep50_lr0.0005_optRMSprop_df0.7_wd0.0,42,cuda,256,16,50,50,0.0005,RMSprop,0.7,0.0,False,10,0.50032,2,0.50032,0.693477,2552.9385,0.50032,0.25016,0.5,0.333476,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_20-30-14_bs16_ep50_lr0.0005_optRMSprop_df0.7_wd0.0\best_model.pt
imagensCNNfase5_2026-04-21_21-12-53_bs16_ep50_lr0.0005_optRMSprop_df0.7_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_21-12-53_bs16_ep50_lr0.0005_optRMSprop_df0.7_wd0.0001,42,cuda,256,16,50,50,0.0005,RMSprop,0.7,0.0001,False,10,0.555093,7,0.49968,0.693806,2588.6905,0.581306,0.581509,0.581321,0.581071,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_21-12-53_bs16_ep50_lr0.0005_optRMSprop_df0.7_wd0.0001\best_model.pt
imagensCNNfase5_2026-04-21_21-56-08_bs16_ep50_lr0.0007_optAdam_df0.6_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_21-56-08_bs16_ep50_lr0.0007_optAdam_df0.6_wd0.0,42,cuda,256,16,50,50,0.0007,Adam,0.6,0.0,False,10,0.988789,49,0.986227,0.052748,2542.2591,0.986556,0.986578,0.986554,0.986555,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_21-56-08_bs16_ep50_lr0.0007_optAdam_df0.6_wd0.0\best_model.pt
imagensCNNfase5_2026-04-21_22-38-36_bs16_ep50_lr0.0007_optAdam_df0.6_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_22-38-36_bs16_ep50_lr0.0007_optAdam_df0.6_wd0.0001,42,cuda,256,16,50,50,0.0007,Adam,0.6,0.0001,False,10,0.988469,36,0.986867,0.040108,2566.2562,0.985915,0.986016,0.985911,0.985915,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_22-38-36_bs16_ep50_lr0.0007_optAdam_df0.6_wd0.0001\best_model.pt
imagensCNNfase5_2026-04-21_23-21-28_bs16_ep50_lr0.0007_optAdam_df0.7_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_23-21-28_bs16_ep50_lr0.0007_optAdam_df0.7_wd0.0,42,cuda,256,16,50,50,0.0007,Adam,0.7,0.0,False,10,0.98943,23,0.988469,0.048351,2548.3384,0.987196,0.987238,0.987193,0.987196,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-21_23-21-28_bs16_ep50_lr0.0007_optAdam_df0.7_wd0.0\best_model.pt
imagensCNNfase5_2026-04-22_00-04-02_bs16_ep50_lr0.0007_optAdam_df0.7_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-22_00-04-02_bs16_ep50_lr0.0007_optAdam_df0.7_wd0.0001,42,cuda,256,16,50,50,0.0007,Adam,0.7,0.0001,False,10,0.987828,33,0.986227,0.032278,2561.8795,0.989117,0.989139,0.989114,0.989116,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-22_00-04-02_bs16_ep50_lr0.0007_optAdam_df0.7_wd0.0001\best_model.pt
imagensCNNfase5_2026-04-22_00-46-50_bs16_ep50_lr0.0007_optAdamW_df0.6_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-22_00-46-50_bs16_ep50_lr0.0007_optAdamW_df0.6_wd0.0,42,cuda,256,16,50,50,0.0007,AdamW,0.6,0.0,False,10,0.988789,49,0.986227,0.052748,2543.3439,0.986556,0.986578,0.986554,0.986555,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-22_00-46-50_bs16_ep50_lr0.0007_optAdamW_df0.6_wd0.0\best_model.pt
imagensCNNfase5_2026-04-22_01-29-19_bs16_ep50_lr0.0007_optAdamW_df0.6_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-22_01-29-19_bs16_ep50_lr0.0007_optAdamW_df0.6_wd0.0001,42,cuda,256,16,50,50,0.0007,AdamW,0.6,0.0001,False,10,0.98911,28,0.986867,0.05946,2553.8373,0.988796,0.988823,0.988794,0.988796,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-22_01-29-19_bs16_ep50_lr0.0007_optAdamW_df0.6_wd0.0001\best_model.pt
imagensCNNfase5_2026-04-22_02-11-59_bs16_ep50_lr0.0007_optAdamW_df0.7_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-22_02-11-59_bs16_ep50_lr0.0007_optAdamW_df0.7_wd0.0,42,cuda,256,16,50,50,0.0007,AdamW,0.7,0.0,False,10,0.98943,23,0.988469,0.048351,2542.493,0.987196,0.987238,0.987193,0.987196,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-22_02-11-59_bs16_ep50_lr0.0007_optAdamW_df0.7_wd0.0\best_model.pt
imagensCNNfase5_2026-04-22_02-54-27_bs16_ep50_lr0.0007_optAdamW_df0.7_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-22_02-54-27_bs16_ep50_lr0.0007_optAdamW_df0.7_wd0.0001,42,cuda,256,16,50,50,0.0007,AdamW,0.7,0.0001,False,10,0.988149,37,0.986227,0.055294,2557.3334,0.986556,0.986587,0.986553,0.986555,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-22_02-54-27_bs16_ep50_lr0.0007_optAdamW_df0.7_wd0.0001\best_model.pt
imagensCNNfase5_2026-04-22_03-37-10_bs16_ep50_lr0.0007_optRMSprop_df0.6_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-22_03-37-10_bs16_ep50_lr0.0007_optRMSprop_df0.6_wd0.0,42,cuda,256,16,50,50,0.0007,RMSprop,0.6,0.0,False,10,0.504484,1,0.50032,0.69325,2549.7361,0.488476,0.455504,0.488202,0.373143,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase5\imagensCNNfase5_2026-04-22_03-37-10_bs16_ep50_lr0.0007_optRMSprop_df0.6_wd0.0\best_model.pt
