=== ANÁLISE DE MÉTRICAS ===

AUC: 1.0000
Confiança média: 0.9764
Menor confiança: 0.0451

=== CASOS MAIS DIFÍCEIS ===
    video_id true_class pred_class  prob_fake  prob_real  num_frames  correct  y_true  y_score  confidence
fake_061_080       fake       fake   0.522544   0.477456          34     True       1 0.522544    0.045088
    real_115       real       real   0.445656   0.554344          32     True       0 0.445656    0.108688
    real_167       real       real   0.400036   0.599964          35     True       0 0.400036    0.199928
    real_124       real       real   0.344592   0.655408          32     True       0 0.344592    0.310815
fake_167_166       fake       fake   0.778474   0.221526          35     True       1 0.778474    0.556947
fake_115_939       fake       fake   0.803263   0.196737          32     True       1 0.803263    0.606526
fake_124_085       fake       fake   0.867170   0.132830          32     True       1 0.867170    0.734340
fake_199_181       fake       fake   0.888162   0.111838          37     True       1 0.888162    0.776324
    real_061       real       real   0.107251   0.892749          34     True       0 0.107251    0.785498
fake_053_095       fake       fake   0.915570   0.084430          42     True       1 0.915570    0.831141
